regional_name,aro,ava,aro_swaras,ava_swaras,kritis,aro_seq,ava_seq,category,swaras,melam_num,janaka_melam,janaka,chakra,chakra_num,hind,songs,alternates,same_aro,same_ava,one_swara_diff,varnams
हरमनोहारी,"['s', 'r2', 'g3', 'r2', 'm2', 'p', 'n3', 'd2', 'n3', 'p']","['s.', 'n3', 'd2', 'p', 'm2', 'g3', 'm2', 'r2', 's']","['शद्जाम', 'चतुश्रुति ऋषभम', 'अंतरा गंधराम', 'चतुश्रुति ऋषभम', 'प्रति मध्यम', 'पंचम', 'काकली निषादम', 'चतुश्रुति दैवतम्', 'काकाली निषादम', 'पंचम']","['शद्जाम', 'काकाली निषादम', 'चतुश्रुति देवता', 'पंचमम', 'प्रति मध्यम', 'अंतरा गंधराम', 'प्रति मध्यम', 'चतुश्रुति ऋषभम', 'शद्जाम']",[],S|R2|G3|R2|M2|P|N3|D2|N3|P,S'|N3|D2|P|M2|G3|M2|R2|S,సంపూర్ణ,"['n3', 's.', 'm2', 's', 'r2', 'p', 'd2', 'g3']",,65,मेककल्यानि,,,[],[],[],[],"['सरसकल्यानी', 'विदंबा']","['सारंगा', 'शहाना', 'फलमंजरी', 'पूर्वगौला', 'माहुरी']",[]
हरनर्तन,"['s', 'r3', 'g3', 'r3', 'm1', 'p', 'n3', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'n3', 'm1', 'g3', 'r3', 'g3', 's']","['शद्जाम', 'शतश्रुति ऋषभम', 'अंतरा गंधराम', 'शतश्रुति ऋषभम', 'शुद्ध मध्यमम', 'पंचमम्', 'काकली निषादम', 'चतुश्रुति दैवतम्', 'काकाली निषादम', 'शद्जाम']","['शद्जाम', 'काकाली निषादम', 'चतुश्रुति देवता', 'काकाली निषादम', 'शुद्ध मध्यम', 'अंतरा गंधराम', 'शतश्रुति ऋषभम', 'अंतरा गंधराम', 'शद्जाम']",[],S|R3|G3|R3|M1|P|N3|D2|N3|S',S'|N3|D2|N3|M1|G3|R3|G3|S,సంపూర్ణ-శాడవ,"['m1', 'n3', 's.', 's', 'p', 'd2', 'r3', 'g3']",,35,शुलिनी,,,[],[],['हरवर्धन'],[],[],"['शहाना', 'वागदीश्वरी', 'पूर्वगौला', 'माहुरी', 'योगसुरभि']",[]
हरेनापी,"['s', 'g1', 'm2', 'p', 'd3', 's.']","['s.', 'd3', 'p', 'm2', 'g1', 's']","['शद्जाम', 'शुद्ध गंधराम', 'प्रति मध्यम', 'पंचम', 'शतश्रुति देवता', 'शद्जाम']","['शज्जाम', 'शतश्रुति देवता', 'पंचम', 'प्रति मध्यम', 'शुद्ध गंधराम', 'शद्जाम']",[],S|G1|M2|P|D3|S',S'|D3|P|M2|G1|S,ఔడవ,"['d3', 's.', 'm2', 'g1', 's', 'p']",,42,राघप्रिया,,,[],[],[],[],[],"['सुख्यदायिनी', 'स्पुतलापिनी', 'सरस्वतीरंजनी', 'समलपिनी', 'सैकाताश्रोनी']",[]
किन्नरेशप्रिय,"['s', 'r1', 'g2', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'g2', 'r1', 's']","['शद्जाम', 'सुधा ऋषभम', 'सरल गंधराम', 'पंचम', 'चतुश्रुति देवता', 'कैसिकी निषादम', 'शद्जम']","['शद्जाम', 'कैसिकी निषादम', 'चतुश्रुति देवता', 'पंचम', 'सरल गंधराम', 'शुद्ध ऋषभम', 'शद्जाम']",[],S|R1|G2|P|D2|N2|S',S'|N2|D2|P|G2|R1|S,శాడవ,"['n2', 'g2', 's.', 'r1', 's', 'p', 'd2']",,10,नाटकप्रिय:,,,[],[],[],['थिरुइंडु'],['मंगलधन्यसी'],"['सिंधुभैरवी', 'नाटकप्रिया', 'शद्वीधामर्गिनी', 'भूपाल', 'जयंतसेना']",[]
किन्नरी,"['s', 'r2', 'm1', 'p', 's.']","['s.', 'n2', 'd1', 'm1', 'g2', 's']","['शज्जाम', 'चतुश्रुति ऋषभम', 'शुद्ध मध्यमम', 'पंचम', 'शद्जाम']","['शद्जाम', 'कैसिकी निषादम', 'सुड्डा देवतम', 'सुद्दा मध्यम', 'सरल गंधराम', 'शद्जाम']",[],S|R2|M1|P|S',S'|N2|D1|M1|G2|S,స్వరాంతర-ఔడవ,"['m1', 'd1', 'n2', 'g2', 's.', 's', 'r2', 'p']",,20,नताभैरवी,,,[],[],[],"['श्रीविवर्धनी', 'कुनरी', 'केतुरु', 'संकलितम्', 'मनोहरन', 'केशवम', 'गंधर्वमनोहारी', 'वीरवसंथम', 'नतनवती']","['लोलंगी', 'हिंडोलम', 'कौरंजा', 'भानुचंद्रिका', 'मलकोश', 'रुद्रघंतरव', 'कन्नदमल्लर', 'गंभीराहिडोलम', 'किल्लैध्वानी', 'मौजीवकम', 'कौशिलाकम', 'अद्भोदम', ' रामयमुखी ',' महासुखवती ',' ग्रहपति ',' क्रुंचम ',' कन्नड़सालवी ',' पकारिटी ']","['तोड़ी', 'भैरवी', 'खरहरप्रिया', 'बागेश्री', 'हिंडोलावसंथा']",[]
किराधारिणी,"['s', 'g3', 'm2', 'p', 'd2', 's.']","['s.', 'd2', 'p', 'm2', 'g3', 's']","['शद्जाम', 'अंतरा गंधराम', 'प्रति मध्यमम', 'पंचमम', 'चतुश्रुति देवत्व', 'शद्जाम']","['शद्जाम', 'चतुश्रुति देवता', 'पंचम', 'प्रति मध्यम', 'अंतरा गंधराम', 'शद्जाम']",[],S|G3|M2|P|D2|S',S'|D2|P|M2|G3|S,ఔడవ,"['s.', 'm2', 's', 'p', 'd2', 'g3']",,64,वाचस्पति,,,[],[],[],"['जयमोहनम', 'संब्रांडका', 'चंपरंतकम', 'चंकरंतकम', 'पडावई', 'वेंकटचलन', 'गिरिधरिणी', 'नाइटिकै', 'पासितम', 'कालकाहंस', 'मलयालकुरिंजी', 'शुद्धधरसाली']","['मविजयकीर्ति', 'कुवलयाप्रिया', 'पटाकम', 'मगंधर्वकोकिलम', 'नागगिरी', 'सिंधुदेश्यामलवी', 'गिरिधरिणी', 'पजामुदिरशोलाई', 'रामानियाम', 'नागश्री']","['मोहनम', 'रसीरंजनी', 'वंदनादारिणी', 'अमृता बेहग', 'अलंकारी']",[]
किरणभास्करमी,"['s', 'r2', 'g2', 'm1', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'd2', 'm1', 'g2', 'r2', 's']","['शद्जाम', 'चतुश्रुति ऋषभम', 'सरल गंधराम', 'शुद्ध मध्यम', 'कैसिकी निषादम', 'शद्जाम']","['शद्जाम', 'कैसिकी निषादम', 'चतुश्रुति देवता', 'पंचम', 'शुद्ध मध्यम', 'चतुश्रुति देवथम', 'शुद्ध मध्यमम', 'सरल गंधराम', 'चतुश्रुति ऋषभम', 'शद्जाम']",[],S|R2|G2|M1|N2|S',S'|N2|D2|P|M1|D2|M1|G2|R2|S,ఔడవ-సంపూర్ణ,"['m1', 'n2', 'g2', 's.', 's', 'r2', 'p', 'd2']",,22,खरारप्रिया,,,[],[],[],"['भोगवती', 'भोगदेवक्रिया', 'शुभामती']",['छायाशोभितम'],"['सूरती', 'अभेरी', 'गौरीमनोहारी', 'वृंदावानी', 'उमभरना']",[]
मोहनंगी,"['s', 'r3', 'g3', 'p', 'd2', 's.']","['s.', 'd2', 'p', 'g3', 'p', 'd2', 'p', 'g3', 'r3', 's']","['शद्जाम', 'शतश्रुति ऋषभम', 'अंतरा गंधराम', 'पंचम', 'चतुश्रुति देवता', 'शद्जाम']","['शद्जाम', 'चतुश्रुति देवता', 'पंचम', 'अंतरा गंधराम', 'पंचम', 'चतुश्रुति देवथम', 'पंचम', 'अंतरा गंधराम', 'शतश्रुति ऋषभम', 'शद्जाम']","[['हम पर जीवन', 'एम। बालमुरलीकृष्ण ',' ']]",S|R3|G3|P|D2|S',S'|D2|P|G3|P|D2|P|G3|R3|S,ఔడవ,"['s.', 's', 'p', 'd2', 'r3', 'g3']",,34,वागधीश्वरी,,,[],[],[],"['नागवारीदी', 'विवादिव', 'विखावती']",[],"['मोहनम', 'रसीरंजनी', 'विपुल', 'वर्णरूपिनी', 'वलाजी']",[]
मोहनवकास्पति,"['s', 'r2', 'g3', 'p', 'd2', 's.']","['s.', 'n2', 'd2', 'p', 'm2', 'g3', 'r2', 's']","['शद्जाम', 'चतुश्रुति ऋषभम', 'अंतरा गंधराम', 'पंचम', 'चतुश्रुति देवथम', 'शद्जाम']","['शद्जाम', 'कैसिकी निषादम', 'चतुश्रुति देवता', 'पंचम', 'प्रति मध्यम', 'अंतरा गंधराम', 'चतुश्रुति ऋषभम', 'शद्जाम']",[],S|R2|G3|P|D2|S',S'|N2|D2|P|M2|G3|R2|S,ఔడవ-సంపూర్ణ,"['n2', 's.', 'm2', 's', 'r2', 'p', 'd2', 'g3']",,64,वाचस्पति,,,[],[],[],"['देवमुखी', 'भूप', 'मस्रिकरंदरिणी', 'मोहनम', 'जयचुदामणि', 'प्रमेय', 'हंसश्रेणी', 'विल्लंबुरी', 'बिलाहारी', 'सुरपुन्नगम', 'देवकुंजरी', 'मोहनध्वानी', ' मा-भोगकुसुमावली ',' पारिजात ',' मोहनकल्यानी ',' अरुलनायकी ', 'हंसरूपिनी', 'पुलोमिकम']","['तंदोलिका', 'दमयंती', 'मशकन', 'घटिता', 'भोगेश्वरी', 'वचस्पति', 'भगवतारंजन', 'विजयभरानी', 'श्रीकेतकाप्रिया', 'वेंकटचलन', 'केतकाप्रिया', 'भुसावली', ' वसोधरी ',' पशनरायनी ',' अंतराकोडिच्चि ',' जगनममोहिनी ',' देवकुंजरी ',' भूषणती ', 'शरदिंदुमुखी', 'सूर्यकामध्याम', 'पंचनारायणी']","['यदुकुलकम्भोजी', 'हरिकंभोजी', 'खामास', 'केदारगौला', 'सरस्वती']",[]
मोहनवराली,"['s', 'r1', 'g1', 'm2', 'p', 'n1', 'd1', 'n1', 's.']","['s.', 'n1', 'p', 'd1', 'm2', 'g1', 'r1', 's']","['शद्जाम', 'सुड्डा ऋषभम', 'सुड्डा गंधराम', 'प्रति मध्यमम', 'पंचम', 'सुद्दा निषादम', 'सुड्डा दैवतम', 'सुद्दा निषादम', 'शद्जाम']","['शद्जाम', 'सुड्डा निषादम', 'पंचम', 'सुड्डा दैवतम', 'प्रति मध्यमम', 'सुद्दा गंधराम', 'सुद्दा ऋषभम', 'शद्जाम']",[],S|R1|G1|M2|P|N1|D1|N1|S',S'|N1|P|D1|M2|G1|R1|S,సంపూర్ణ,"['n1', 'd1', 's.', 'm2', 'r1', 'g1', 's', 'p']",,37,सालगाम,,,[],[],['भोगावराली'],[],[],"['विजयकोकिला', 'विजयभुसावली', 'विग्नारंजीथा', 'वराली', 'वड्डंबरी']",[]
मोहनवरति,"['s', 'r1', 'g3', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'g3', 'r1', 's']","['शद्जाम', 'सुड्डा ऋषभम', 'अंतरा गंधराम', 'पंचम', 'सुद्दा दैवतम', 'काकाली निषादम', 'शद्जाम']","['शद्जाम', 'काकाली निषादम', 'सुड्डा देवतम', 'पंचमम', 'अंतरा गंधराम', 'सुद्दा ऋषभम', 'शद्जाम']",[],S|R1|G3|P|D1|N3|S',S'|N3|D1|P|G3|R1|S,శాడవ,"['d1', 'n3', 's.', 'r1', 's', 'p', 'g3']",,15,जादुई राग,,,[],[],[],"['कुकुता', 'कालिंदी', 'युधिष्ठिर', 'मलमलाई', 'निस्कम', 'भर्मकेसरी', 'पाविनी', 'शनास्त्र', 'पद्मावली', 'बागेश्रीबहार', 'दंबोली']","['कालिंदी', 'मुकुंदमनोहारी', 'बौली', 'तुलिक्य', 'रेवागुप्ति', 'गंधारगौला', 'गोमुखी', 'पाविनी', 'पुरानिरमई', 'पद्मावली']","['गुर्जरी', 'स्मोकंबरी', 'युधिष्ठिर', 'योगलीला', 'वरुगमंजरी']",[]
मोक्षदायिनी,"['s', 'r2', 'g3', 'p', 'n1', 's.']","['s.', 'n1', 'p', 'g3', 'r2', 's']","['शद्जाम', 'चतुश्रुति ऋषभम', 'अंतरा गंधराम', 'पंचम', 'सुद्दा निषादम', 'शद्जाम']","['शद्जाम', 'सुद्दा निषादम', 'पंचम', 'अंतरा गंधराम', 'चतुश्रुति ऋषभम', 'शद्जाम']",[],S|R2|G3|P|N1|S',S'|N1|P|G3|R2|S,ఔడవ,"['n1', 's.', 's', 'r2', 'p', 'g3']",,25,मारारंजनी,,,[],[],[],[],['जलीय'],"['मोहनम', 'हंसध्वानी', 'बुधमनोहारी', 'वसंती', 'देसाक्षी']",[]
मरदानी,"['s', 'r2', 'g3', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'g3', 'r2', 's']","['शद्जाम', 'चतुश्रुति ऋषभम', 'अंतरा गंधराम', 'सुद्दा दैवतम्', 'कैसिकी निषादम', 'शद्जाम']","['शद्जाम', 'कैसिकी निषादम', 'सुड्डा देवतम', 'अंतरा गंधराम', 'चतुश्रुति ऋषभम', 'शद्जाम']",[],S|R2|G3|D1|N2|S',S'|N2|D1|G3|R2|S,ఔడవ,"['d1', 'n2', 's.', 's', 'r2', 'g3']",,26,चारुकेशियो,,,[],[],[],[],[],"['केसरा', 'वसंती', 'देसाक्षी', 'विनवादिनी', 'विनासुखम']",[]
नटभरणम,"['s', 'r1', 'g2', 'm1', 'p', 'd2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'g2', 'r1', 's']","['शद्जाम', 'सुधा ऋषभम', 'सरल गंधराम', 'शुद्ध मध्यम', 'पंचम', 'चतुश्रुति देवता', 'शद्जाम']","['शद्जाम', 'कैशिकी निषादम', 'चतुश्रुति देवता', 'पंचम', 'शुद्ध मध्यमम', 'सरल गंधराम', 'सुद्दा ऋषभम', 'शद्जाम']",[],S|R1|G2|M1|P|D2|S',S'|N2|D2|P|M1|G2|R1|S,శాడవ-సంపూర్ణ,"['m1', 'n2', 'g2', 's.', 'r1', 's', 'p', 'd2']",,10,नाटकप्रिय:,,,[],[],['नाटक'],"['कौमारी', 'नादामुखरी', 'श्रीसंत भाषिनी', 'मार्जिनी', 'नाट्यभरणम', 'नारदमुखरी', 'थिरुंडिवन्ना', 'अरवमणि', 'संतवाभासिनी']","['नागसुगंधी', 'अक्कापाड़ा', 'अदुबली', 'अक्कारा', 'थिरुइंद्राणी', 'नाट्यभरणम', 'नाटकप्रिया', 'अंकुशपाणि', 'हनुमकोडियों', 'थिरुइंद्र', 'थिरुइंदु', 'इंद्रनीलम', ' अनिला', 'भ्रामरावर्दिनी', 'सारंगभौली', 'इंद्रपद', 'अश्विनी', 'मुहूर्तधन्यसी']","['तोड़ी', 'खरहरप्रिया', 'धन्यसी', 'कपी', 'श्री']",[]
